# k0x_2;min_population;time_for_min_population;min_fidelity;time_for_min_fidelity;max_fidelity;time_for_max_fidelity;last_fidelity
0.69999999999999996;0.99477632670810257;10;0.99773961766410602;10;1;0.0001;0.99773961766410602
0.70599999999999996;0.99488761955022209;10;0.99785136652428308;10;1;0.0001;0.99785136652428308
0.71199999999999997;0.99498947721825837;10;0.99795364612670612;10;1;0.0001;0.99795364612670612
0.71799999999999997;0.99508290980747494;10;0.99804747007156358;10;1;0.0001;0.99804747007156358
0.72399999999999998;0.99516879478435771;10;0.99813371888336688;10;1;0.0001;0.99813371888336688
0.72999999999999998;0.99524789728448415;10;0.99821316037591534;10;1;0.0001;0.99821316037591534
0.73599999999999999;0.99532088687778641;10;0.99828646647314589;10;1;0.0001;0.99828646647314589
0.74199999999999999;0.99538835148537674;10;0.99835422717223887;10;1;0.0001;0.99835422717223887
0.748;0.99545080898799954;10;0.99841696219078846;10;1;0.0001;0.99841696219078846
0.754;0.99550871695238952;10;0.99847513072570115;10;1;0.0001;0.99847513072570115
0.76000000000000001;0.99556248081629373;10;0.99852913966568047;10;1;0.0001;0.99852913966568047
0.76600000000000001;0.99561246080467392;10;0.99857935053070479;10;1;0.0001;0.99857935053070479
0.77200000000000002;0.99565897779680301;10;0.99862608535892761;10;1;0.0001;0.99862608535892761
0.77799999999999991;0.99570231832161094;10;0.99866963171893386;10;1;0.0001;0.99866963171893386
0.78399999999999992;0.99574273882651398;10;0.99871024699306366;10;1;0.0001;0.99871024699306366
0.78999999999999992;0.99578046933723796;10;0.99874816204969896;10;1;0.0001;0.99874816204969896
0.79599999999999993;0.99581571660606227;10;0.99878358440226167;10;1;0.0001;0.99878358440226167
0.80199999999999994;0.99584866682824336;10;0.9988167009349419;10;1;0.0001;0.9988167009349419
0.80799999999999994;0.9958794879926558;10;0.9988476802614179;10;1;0.0001;0.9988476802614179
0.81399999999999995;0.99590833192198192;10;0.99887667477207587;10;1;0.0001;0.99887667477207587
0.81999999999999995;0.99593533604782891;10;0.99890382241526532;10;1;0.0001;0.99890382241526532
0.82599999999999996;0.9959606249593691;10;0.99892924825131069;10;1;0.0001;0.99892924825131069
0.83199999999999996;0.99598431175766944;10;0.9989530658115503;10;1;0.0001;0.9989530658115503
0.83799999999999997;0.99600649924293283;10;0.99897537828972383;10;1;0.0001;0.99897537828972383
0.84399999999999997;0.99602728095710558;10;0.99899627958822945;10;1;0.0001;0.99899627958822945
0.84999999999999998;0.99604674210210919;10;0.99901585523958247;10;1;0.0001;0.99901585523958247
0.85599999999999998;0.99606496034928138;10;0.99903418321871051;10;1;0.0001;0.99903418321871051
0.86199999999999999;0.99608200655494483;10;0.99905133466105445;10;1;0.0001;0.99905133466105445
0.86799999999999999;0.99609794539337038;10;0.99906737449778082;10;1;0.0001;0.99906737449778082
0.874;0.99611283591799149;10;0.99908236201899714;10;1;0.0001;0.99908236201899714
0.88;0.99612673205957214;10;0.99909635137370567;10;1;0.0001;0.99909635137370567
0.88600000000000001;0.99613968306880374;10;0.9991093920139914;10;1;0.0001;0.9991093920139914
0.89200000000000002;0.99615173390992551;10;0.99912152909006746;10;1;0.0001;0.99912152909006746
0.89800000000000002;0.9961629256113238;10;0.99913280380214797;10;1;0.0001;0.99913280380214797
0.90400000000000003;0.99617329557752832;10;0.99914325371358614;10;1;0.0001;0.99914325371358614
0.91000000000000003;0.99618287786741633;10;0.99915291303010145;10;1;0.0001;0.99915291303010145
0.91600000000000004;0.99619170344166164;10;0.99916181284814742;10;1;0.0001;0.99916181284814742
0.92200000000000004;0.99619980038346145;10;0.99916998137646262;10;1;0.0001;0.99916998137646262
0.92800000000000005;0.99620719409447045;10;0.99917744413274456;10;1;0.0001;0.99917744413274456
0.93399999999999994;0.99621390746889649;10;0.99918422411840879;10;1;0.0001;0.99918422411840879
0.93999999999999995;0.99621996104778698;10;0.99919034197347201;10;1;0.0001;0.99919034197347201
0.94599999999999995;0.99622537315524029;10;0.999195816113296;10;1;0.0001;0.999195816113296
0.95199999999999996;0.99623016001802833;10;0.99920066284868914;10;1;0.0001;0.99920066284868914
0.95799999999999996;0.99623433587027199;10;0.99920489649100608;10;1;0.0001;0.99920489649100608
0.96399999999999997;0.9962379130440796;10;0.99920852944316729;10;1;0.0001;0.99920852944316729
0.96999999999999997;0.99624090204731919;10;0.99921157227776625;10;1;0.0001;0.99921157227776625
0.97599999999999998;0.9962433116292454;10;0.99921403380299179;10;1;0.0001;0.99921403380299179
0.98199999999999998;0.99624514883477655;10;0.99921592111716473;10;1;0.0001;0.99921592111716473
0.98799999999999999;0.99624641904804057;10;0.99921723965250697;10;1;0.0001;0.99921723965250697
0.99399999999999999;0.99624712602535614;10;0.99921799320831339;10;1;0.0001;0.99921799320831339
1;0.99624727191861595;10;0.99921818397449402;10;1;0.0001;0.99921818397449402
1.006;0.9962468572885318;10;0.99921781254494912;10;1;0.0001;0.99921781254494912
1.012;0.99624588110839041;10;0.99921687792142388;10;1;0.0001;0.99921687792142388
1.018;0.99624434075847534;10;0.99921537750800304;10;1;0.0001;0.99921537750800304
1.024;0.9962422320104507;10;0.99921330709553735;10;1;0.0001;0.99921330709553735
1.03;0.99623954900240441;10;0.99921066083670229;10;1;0.0001;0.99921066083670229
1.036;0.9962362842033704;10;0.99920743121050715;10;1;0.0001;0.99920743121050715
1.042;0.99623242836801729;10;0.9992036089769426;10;1;0.0001;0.9992036089769426
1.048;0.99622797047987155;10;0.99919918312013112;10;1;0.0001;0.99919918312013112
