# omega_2;min_population;time_for_min_population;min_fidelity;time_for_min_fidelity;max_fidelity;time_for_max_fidelity;last_fidelity
3992;0.99601068200764797;10;0.99898134181494758;10;1;0.0001;0.99898134181494758
3992.0333333333333;0.99602241119124679;10;0.99899310319952273;10;1;0.0001;0.99899310319952273
3992.0666666666666;0.99603407448891446;10;0.99900479849703983;10;1;0.0001;0.99900479849703983
3992.0999999999999;0.99604567167125746;10;0.99901642747744401;10;1;0.0001;0.99901642747744401
3992.1333333333332;0.99605720250983742;10;0.99902798991163877;10;1;0.0001;0.99902798991163877
3992.1666666666665;0.99606866677705264;10;0.99903948557136646;10;1;0.0001;0.99903948557136646
3992.1999999999998;0.99608006424631845;10;0.99905091422939041;10;1;0.0001;0.99905091422939041
3992.2333333333331;0.99609139469203045;10;0.99906227565945638;10;1;0.0001;0.99906227565945638
3992.2666666666669;0.996102657889538;10;0.99907356963626781;10;1;0.0001;0.99907356963626781
3992.3000000000002;0.99611385361517601;10;0.99908479593551591;10;1;0.0001;0.99908479593551591
3992.3333333333335;0.99612498164625263;10;0.99909595433386877;10;1;0.0001;0.99909595433386877
3992.3666666666668;0.99613604176109138;10;0.99910704460901267;10;1;0.0001;0.99910704460901267
3992.4000000000001;0.99614703373905444;10;0.99911806653967628;10;1;0.0001;0.99911806653967628
3992.4333333333334;0.99615795736052792;10;0.99912901990561476;10;1;0.0001;0.99912901990561476
3992.4666666666667;0.99616881240690081;10;0.99913990448758982;10;1;0.0001;0.99913990448758982
3992.5;0.9961795986606089;10;0.99915072006741279;10;1;0.0001;0.99915072006741279
3992.5333333333333;0.99619031590513807;10;0.99916146642794867;10;1;0.0001;0.99916146642794867
3992.5666666666666;0.99620096392515289;10;0.99917214335324489;10;1;0.0001;0.99917214335324489
3992.5999999999999;0.9962115425062652;10;0.99918275062829875;10;1;0.0001;0.99918275062829875
3992.6333333333332;0.9962220514351745;10;0.99919328803919893;10;1;0.0001;0.99919328803919893
3992.6666666666665;0.99623249049975882;10;0.99920375537321626;10;1;0.0001;0.99920375537321626
3992.6999999999998;0.99624285948896418;10;0.99921415241869249;10;1;0.0001;0.99921415241869249
3992.7333333333331;0.99625315819284399;10;0.99922447896508071;10;1;0.0001;0.99922447896508071
3992.7666666666669;0.99626338640258816;10;0.99923473480297398;10;1;0.0001;0.99923473480297398
3992.8000000000002;0.99627354391054446;10;0.99924491972412632;10;1;0.0001;0.99924491972412632
3992.8333333333335;0.99628363051018187;10;0.99925503352141698;10;1;0.0001;0.99925503352141698
3992.8666666666668;0.99629364599614434;10;0.99926507598890368;10;1;0.0001;0.99926507598890368
3992.9000000000001;0.99630359016424286;10;0.99927504692181479;10;1;0.0001;0.99927504692181479
3992.9333333333334;0.99631346281142719;10;0.99928494611652074;10;1;0.0001;0.99928494611652074
3992.9666666666667;0.99632326373591562;10;0.99929477337066497;10;1;0.0001;0.99929477337066497
3993;0.99633299273707621;10;0.99930452848304341;10;1;0.0001;0.99930452848304341
3993.0333333333333;0.99634264961547658;10;0.99931421125365616;10;1;0.0001;0.99931421125365616
3993.0666666666666;0.99635223417295848;10;0.99932382148378074;10;1;0.0001;0.99932382148378074
3993.0999999999999;0.99636174621246354;10;0.99933335897579834;10;1;0.0001;0.99933335897579834
3993.1333333333332;0.99637118553833937;10;0.99934282353350012;10;1;0.0001;0.99934282353350012
3993.1666666666665;0.99638055195603481;10;0.99935221496178228;10;1;0.0001;0.99935221496178228
3993.1999999999998;0.99638984527239094;10;0.99936153306693742;10;1;0.0001;0.99936153306693742
3993.2333333333331;0.99639906529541278;10;0.99937077765642535;10;1;0.0001;0.99937077765642535
3993.2666666666669;0.99640821183439454;10;0.99937994853899936;10;1;0.0001;0.99937994853899936
3993.3000000000002;0.99641728469993907;10;0.99938904552472552;10;1;0.0001;0.99938904552472552
3993.3333333333335;0.99642628370397401;10;0.99939806842499845;10;1;0.0001;0.99939806842499845
3993.3666666666668;0.99643520865970392;10;0.99940701705249368;10;1;0.0001;0.99940701705249368
3993.4000000000001;0.99644405938157832;10;0.99941589122113594;10;1;0.0001;0.99941589122113594
3993.4333333333334;0.99645283568549547;10;0.99942469074630258;10;1;0.0001;0.99942469074630258
3993.4666666666667;0.99646153738862941;10;0.99943341544465092;10;1;0.0001;0.99943341544465092
3993.5;0.99647016430945079;10;0.99944206513413913;10;1;0.0001;0.99944206513413913
3993.5333333333333;0.99647871626784046;10;0.99945063963413938;10;1;0.0001;0.99945063963413938
3993.5666666666666;0.99648719308505118;10;0.99945913876540038;10;1;0.0001;0.99945913876540038
3993.5999999999999;0.99649559458365333;10;0.99946756234999234;10;1;0.0001;0.99946756234999234
3993.6333333333332;0.99650392058763082;10;0.99947591021140347;10;1;0.0001;0.99947591021140347
3993.6666666666665;0.99651217092233968;10;0.99948418217449797;10;1;0.0001;0.99948418217449797
3993.6999999999998;0.9965203454145235;10;0.99949237806553248;10;1;0.0001;0.99949237806553248
3993.7333333333331;0.9965284438923635;10;0.99950049771220473;10;1;0.0001;0.99950049771220473
3993.7666666666669;0.99653646618543068;10;0.99950854094360775;10;1;0.0001;0.99950854094360775
3993.8000000000002;0.99654441212473288;10;0.99951650759027455;10;1;0.0001;0.99951650759027455
3993.8333333333335;0.99655228154269615;10;0.99952439748416166;10;1;0.0001;0.99952439748416166
3993.8666666666668;0.9965600742731785;10;0.99953221045866125;10;1;0.0001;0.99953221045866125
3993.9000000000001;0.99656779015153518;10;0.99953994634866783;10;1;0.0001;0.99953994634866783
