# omega_2;min_population;time_for_min_population;min_fidelity;time_for_min_fidelity;max_fidelity;time_for_max_fidelity;last_fidelity
3992;0.99540291963464234;10;0.99837174141813034;10;1;0.0001;0.99837174141813034
3992.0333333333333;0.99541369344446973;10;0.99838254472357235;10;1;0.0001;0.99838254472357235
3992.0666666666666;0.99542440611012084;10;0.99839328669834559;10;1;0.0001;0.99839328669834559
3992.0999999999999;0.99543505743166061;10;0.99840396714193913;10;1;0.0001;0.99840396714193913
3992.1333333333332;0.99544564720985418;10;0.99841458585454523;10;1;0.0001;0.99841458585454523
3992.1666666666665;0.99545617524652763;10;0.99842514263741988;10;1;0.0001;0.99842514263741988
3992.1999999999998;0.99546664134422835;10;0.99843563729254292;10;1;0.0001;0.99843563729254292
3992.2333333333331;0.99547704530637282;10;0.99844606962276583;10;1;0.0001;0.99844606962276583
3992.2666666666669;0.99548738693725802;10;0.99845643943182349;10;1;0.0001;0.99845643943182349
3992.3000000000002;0.99549766604217893;10;0.99846674652445178;10;1;0.0001;0.99846674652445178
3992.3333333333335;0.99550788242714994;10;0.99847699070610829;10;1;0.0001;0.99847699070610829
3992.3666666666668;0.99551803589915777;10;0.99848717178322577;10;1;0.0001;0.99848717178322577
3992.4000000000001;0.99552812626619447;10;0.9984972895632459;10;1;0.0001;0.9984972895632459
3992.4333333333334;0.9955381533370331;10;0.99850734385439321;10;1;0.0001;0.99850734385439321
3992.4666666666667;0.99554811692144518;10;0.9985173344658943;10;1;0.0001;0.9985173344658943
3992.5;0.99555801683012202;10;0.99852726120789825;10;1;0.0001;0.99852726120789825
3992.5333333333333;0.99556785287469873;10;0.99853712389150084;10;1;0.0001;0.99853712389150084
3992.5666666666666;0.99557762486780366;10;0.99854692232879416;10;1;0.0001;0.99854692232879416
3992.5999999999999;0.99558733262298638;10;0.99855665633279456;10;1;0.0001;0.99855665633279456
3992.6333333333332;0.99559697595475827;10;0.99856632571748294;10;1;0.0001;0.99856632571748294
3992.6666666666665;0.995606554678647;10;0.99857593029785974;10;1;0.0001;0.99857593029785974
3992.6999999999998;0.99561606861113705;10;0.99858546988988517;10;1;0.0001;0.99858546988988517
3992.7333333333331;0.9956255175697275;10;0.99859494431053719;10;1;0.0001;0.99859494431053719
3992.7666666666669;0.99563490137292077;10;0.99860435337780029;10;1;0.0001;0.99860435337780029
3992.8000000000002;0.99564421984021889;10;0.99861369691066171;10;1;0.0001;0.99861369691066171
3992.8333333333335;0.99565347279221261;10;0.99862297472920047;10;1;0.0001;0.99862297472920047
3992.8666666666668;0.99566266005038329;10;0.99863218665438946;10;1;0.0001;0.99863218665438946
3992.9000000000001;0.99567178143736523;10;0.9986413325083574;10;1;0.0001;0.9986413325083574
3992.9333333333334;0.99568083677685482;10;0.99865041211429917;10;1;0.0001;0.99865041211429917
3992.9666666666667;0.99568982589349297;10;0.99865942529635632;10;1;0.0001;0.99865942529635632
3993;0.99569874861306584;10;0.99866837187981972;10;1;0.0001;0.99866837187981972
3993.0333333333333;0.9957076047624589;10;0.9986772516910829;10;1;0.0001;0.9986772516910829
3993.0666666666666;0.99571639416951829;10;0.99868606455750286;10;1;0.0001;0.99868606455750286
3993.0999999999999;0.99572511666329611;10;0.99869481030764606;10;1;0.0001;0.99869481030764606
3993.1333333333332;0.99573377207387814;10;0.99870348877111659;10;1;0.0001;0.99870348877111659
3993.1666666666665;0.99574236023248497;10;0.99871209977865583;10;1;0.0001;0.99871209977865583
3993.1999999999998;0.99575088097140407;10;0.9987206431620762;10;1;0.0001;0.9987206431620762
3993.2333333333331;0.99575933412407536;10;0.99872911875434556;10;1;0.0001;0.99872911875434556
3993.2666666666669;0.99576771952507825;10;0.99873752638957525;10;1;0.0001;0.99873752638957525
3993.3000000000002;0.99577603701009032;10;0.99874586590297765;10;1;0.0001;0.99874586590297765
3993.3333333333335;0.99578428641596239;10;0.99875413713094241;10;1;0.0001;0.99875413713094241
3993.3666666666668;0.99579246758068285;10;0.99876233991099983;10;1;0.0001;0.99876233991099983
3993.4000000000001;0.99580058034338437;10;0.99877047408182851;10;1;0.0001;0.99877047408182851
3993.4333333333334;0.99580862454442165;10;0.99877853948333239;10;1;0.0001;0.99877853948333239
3993.4666666666667;0.99581660002522221;10;0.99878653595649203;10;1;0.0001;0.99878653595649203
3993.5;0.99582450662851152;10;0.99879446334358912;10;1;0.0001;0.99879446334358912
3993.5333333333333;0.99583234419809763;10;0.99880232148799208;10;1;0.0001;0.99880232148799208
3993.5666666666666;0.99584011257908545;10;0.99881011023436983;10;1;0.0001;0.99881011023436983
3993.5999999999999;0.99584781161768909;10;0.99881782942850361;10;1;0.0001;0.99881782942850361
3993.6333333333332;0.99585544116138569;10;0.99882547891744211;10;1;0.0001;0.99882547891744211
3993.6666666666665;0.9958630010588706;10;0.9988330585494557;10;1;0.0001;0.9988330585494557
3993.6999999999998;0.99587049116005488;10;0.9988405681740341;10;1;0.0001;0.9988405681740341
3993.7333333333331;0.9958779113160503;10;0.99884800764187143;10;1;0.0001;0.99884800764187143
3993.7666666666669;0.99588526137930733;10;0.9988553768050048;10;1;0.0001;0.9988553768050048
3993.8000000000002;0.99589254120340276;10;0.99886267551660102;10;1;0.0001;0.99886267551660102
3993.8333333333335;0.99589975064328828;10;0.99886990363120576;10;1;0.0001;0.99886990363120576
3993.8666666666668;0.99590688955501816;10;0.99887706100447105;10;1;0.0001;0.99887706100447105
3993.9000000000001;0.99591395779609726;10;0.99888414749350363;10;1;0.0001;0.99888414749350363
3993.9333333333334;0.99592095522514867;10;0.9988911629565318;10;1;0.0001;0.9988911629565318
3993.9666666666667;0.99592788170221258;10;0.99889810725320582;10;1;0.0001;0.99889810725320582
3994;0.99593473708852898;10;0.99890498024437901;10;1;0.0001;0.99890498024437901
3994.0333333333333;0.99594152124663538;10;0.99891178179220608;10;1;0.0001;0.99891178179220608
3994.0666666666666;0.99594823404042587;10;0.99891851176020263;10;1;0.0001;0.99891851176020263
3994.0999999999999;0.9959548753350802;10;0.99892517001317405;10;1;0.0001;0.99892517001317405
3994.1333333333332;0.99596144499704609;10;0.99893175641719711;10;1;0.0001;0.99893175641719711
