# gamma1Internal;min_population;time_for_min_population;min_fidelity;time_for_min_fidelity;max_fidelity;time_for_max_fidelity;last_fidelity
0.00015915494309189532;0.99466775063077795;10;0.99763395238907604;10;1;0.0001;0.99763395238907604
0.00042388266510141458;0.99204602528424712;10;0.99500440878353036;10;1;0.0001;0.99500440878353036
0.00068861038711093389;0.98943121023011849;10;0.99238179607760746;10;1;0.0001;0.99238179607760746
0.0009533381091204531;0.98682328725436874;10;0.98976609600296761;10;1;0.0001;0.98976609600296761
0.0012180658311299723;0.98422223819102417;10;0.98715729033946431;10;1;0.0001;0.98715729033946431
0.0014827935531394917;0.98162804492190381;10;0.98455536091488627;10;1;0.0001;0.98455536091488627
0.0017475212751490109;0.97904068937667454;10;0.98196028960501269;10;1;0.0001;0.98196028960501269
0.0020122489971585301;0.97646015353261117;10;0.97937205833337293;10;1;0.0001;0.97937205833337293
0.0022769767191680493;0.97388641941442478;10;0.97679064907107338;10;1;0.0001;0.97679064907107338
0.0025417044411775685;0.97131946909430478;10;0.97421604383684124;10;1;0.0001;0.97421604383684124
0.0028064321631870877;0.96875928469156236;10;0.97164822469666545;10;1;0.0001;0.97164822469666545
0.0030711598851966074;0.96620584837285706;10;0.96908717376402465;10;1;0.0001;0.96908717376402465
0.0033358876072061266;0.96365914235159444;10;0.96653287319928294;10;1;0.0001;0.96653287319928294
0.0036006153292156458;0.96111914888823802;10;0.96398530521000259;10;1;0.0001;0.96398530521000259
0.003865343051225165;0.95858585028997856;10;0.96144445205061246;10;1;0.0001;0.96144445205061246
0.0041300707732346842;0.95605922891057149;10;0.9589102960222452;10;1;0.0001;0.9589102960222452
0.0043947984952442034;0.95353926715035542;10;0.95638281947275527;10;1;0.0001;0.95638281947275527
0.0046595262172537226;0.95102594745599767;10;0.95386200479646399;10;1;0.0001;0.95386200479646399
0.0049242539392632418;0.94851925232057055;10;0.95134783443423643;10;1;0.0001;0.95134783443423643
0.005188981661272761;0.94601916428306487;10;0.94884029087299249;10;1;0.0001;0.94884029087299249
0.0054537093832822802;0.94352566592866616;10;0.94633935664598512;10;1;0.0001;0.94633935664598512
0.0057184371052917994;0.94103873988843356;10;0.94384501433247725;10;1;0.0001;0.94384501433247725
0.0059831648273013186;0.93855836883916155;10;0.941357246557604;10;1;0.0001;0.941357246557604
0.0062478925493108378;0.93608453550335102;10;0.93887603599234259;10;1;0.0001;0.93887603599234259
0.0065126202713203579;0.93361722264899294;10;0.93640136535329666;10;1;0.0001;0.93640136535329666
0.0067773479933298771;0.93115641308958375;10;0.9339332174027104;10;1;0.0001;0.9339332174027104
0.0070420757153393963;0.92870208968380408;10;0.93147157494814725;10;1;0.0001;0.93147157494814725
0.0073068034373489155;0.92625423533557794;10;0.9290164208425491;10;1;0.0001;0.9290164208425491
0.0075715311593584347;0.92381283299390604;10;0.92656773798406855;10;1;0.0001;0.92656773798406855
0.007836258881367953;0.92137786565272861;10;0.92412550931593218;10;1;0.0001;0.92412550931593218
0.0081009866033774722;0.9189493163507485;10;0.92168971782626219;10;1;0.0001;0.92168971782626219
0.0083657143253869914;0.91652716817146818;10;0.91926034654811462;10;1;0.0001;0.91926034654811462
0.0086304420473965124;0.91411140424289761;10;0.91683737855918501;10;1;0.0001;0.91683737855918501
0.0088951697694060316;0.91170200773756405;10;0.91442079698181955;10;1;0.0001;0.91442079698181955
0.0091598974914155508;0.90929896187234749;10;0.91201058498284893;10;1;0.0001;0.91201058498284893
0.00942462521342507;0.90690224990833035;10;0.90960672577343871;10;1;0.0001;0.90960672577343871
0.0096893529354345892;0.9045118551507465;10;0.90720920260903681;10;1;0.0001;0.90720920260903681
0.0099540806574441084;0.90212776094882485;10;0.90481799878921809;10;1;0.0001;0.90481799878921809
0.010218808379453628;0.89974995069568375;10;0.9024330976575774;10;1;0.0001;0.9024330976575774
0.010483536101463147;0.89737840782822009;10;0.90005448260161847;10;1;0.0001;0.90005448260161847
0.010748263823472666;0.89501311582693577;10;0.89768213705258038;10;1;0.0001;0.89768213705258038
0.011012991545482185;0.89265405821597521;10;0.89531604448547508;10;1;0.0001;0.89531604448547508
0.011277719267491704;0.89030121856280164;10;0.8929561884187619;10;1;0.0001;0.8929561884187619
0.011542446989501224;0.88795458047827391;10;0.89060255241442565;10;1;0.0001;0.89060255241442565
0.011807174711510743;0.88561412761643021;10;0.88825512007775931;10;1;0.0001;0.88825512007775931
0.012071902433520262;0.8832798436743301;10;0.88591387505720487;10;1;0.0001;0.88591387505720487
0.012336630155529781;0.8809517123920626;10;0.88357880104436315;10;1;0.0001;0.88357880104436315
0.0126013578775393;0.87862971755260577;10;0.881249881773851;10;1;0.0001;0.881249881773851
0.01286608559954882;0.87631384298160608;10;0.87892710102308125;10;1;0.0001;0.87892710102308125
0.013130813321558339;0.87400407254737289;10;0.87661044261225696;10;1;0.0001;0.87661044261225696
0.013395541043567858;0.87170039016077316;10;0.87429989040426548;10;1;0.0001;0.87429989040426548
0.013660268765577377;0.86940277977503699;10;0.87199542830448407;10;1;0.0001;0.87199542830448407
0.013924996487586896;0.86711122538565899;10;0.86969704026067962;10;1;0.0001;0.86969704026067962
0.014189724209596416;0.86482571103040351;10;0.86740471026301591;10;1;0.0001;0.86740471026301591
0.014454451931605935;0.86254622078907717;10;0.86511842234382375;10;1;0.0001;0.86511842234382375
0.014719179653615454;0.86027273878336097;10;0.86283816057743323;10;1;0.0001;0.86283816057743323
0.014983907375624973;0.85800524917695975;10;0.86056390908032354;10;1;0.0001;0.86056390908032354
0.015248635097634492;0.85574373617514221;10;0.85829565201066216;10;1;0.0001;0.85829565201066216
0.015513362819644012;0.85348818402494608;10;0.85603337356850939;10;1;0.0001;0.85603337356850939
0.015778090541653533;0.85123857701481853;10;0.85377705799545944;10;1;0.0001;0.85377705799545944
0.01604281826366305;0.84899489947474738;10;0.85152668957476996;10;1;0.0001;0.85152668957476996
0.016307545985672571;0.84675713577586453;10;0.84928225263096624;10;1;0.0001;0.84928225263096624
0.016572273707682088;0.84452527033064773;10;0.84704373153004231;10;1;0.0001;0.84704373153004231
0.016837001429691609;0.84229928759253658;10;0.84481111067907622;10;1;0.0001;0.84481111067907622
0.017101729151701127;0.84007917205606542;10;0.84258437452636348;10;1;0.0001;0.84258437452636348
0.017366456873710648;0.83786490825654614;10;0.84036350756109846;10;1;0.0001;0.84036350756109846
0.017631184595720165;0.83565648077004573;10;0.83814849431335248;10;1;0.0001;0.83814849431335248
0.017895912317729686;0.83345387421339634;10;0.8359393193540835;10;1;0.0001;0.8359393193540835
0.018160640039739204;0.83125707324384757;10;0.83373596729478749;10;1;0.0001;0.83373596729478749
0.018425367761748725;0.82906606255916337;10;0.83153842278759504;10;1;0.0001;0.83153842278759504
0.018690095483758242;0.8268808268974156;10;0.82934667052506583;10;1;0.0001;0.82934667052506583
0.018954823205767763;0.82470135103692699;10;0.82716069524012981;10;1;0.0001;0.82716069524012981
0.019219550927777281;0.82252761979609967;10;0.82498048170591587;10;1;0.0001;0.82498048170591587
0.019484278649786801;0.82035961803339474;10;0.82280601473573156;10;1;0.0001;0.82280601473573156
0.019749006371796319;0.81819733064712574;10;0.82063727918285545;10;1;0.0001;0.82063727918285545
0.02001373409380584;0.81604074257549952;10;0.81847425994057876;10;1;0.0001;0.81847425994057876
0.020278461815815357;0.81388983879634091;10;0.81631694194192828;10;1;0.0001;0.81631694194192828
0.020543189537824878;0.8117446043271298;10;0.81416531015970472;10;1;0.0001;0.81416531015970472
