# gamma1Internal;min_population;time_for_min_population;min_fidelity;time_for_min_fidelity;max_fidelity;time_for_max_fidelity;last_fidelity
0.051781060734948148;0.59492869354653621;10;0.59670283177799488;10;1;0.0001;0.59670283177799488
0.052045788456957669;0.59336059683376763;10;0.59513005883763526;10;1;0.0001;0.59513005883763526
0.05231051617896719;0.59179663326805521;10;0.5935614313698111;10;1;0.0001;0.5935614313698111
0.052575243900976711;0.59023679195533618;10;0.59199693844797241;10;1;0.0001;0.59199693844797241
0.052839971622986225;0.58868106203032422;10;0.59043656917443155;10;1;0.0001;0.59043656917443155
0.053104699344995746;0.58712943265629913;10;0.58888031268015162;10;1;0.0001;0.58888031268015162
0.053369427067005266;0.58558189302514851;10;0.58732815812478967;10;1;0.0001;0.58732815812478967
0.053634154789014787;0.5840384323572303;10;0.58578009469655778;10;1;0.0001;0.58578009469655778
0.053898882511024301;0.58249903990134033;10;0.58423611161219013;10;1;0.0001;0.58423611161219013
0.054163610233033822;0.58096370493456473;10;0.58269619811679618;10;1;0.0001;0.58269619811679618
0.054428337955043343;0.5794324167623236;10;0.58116034348390366;10;1;0.0001;0.58116034348390366
0.054693065677052864;0.5779051647181227;10;0.57962853701520978;10;1;0.0001;0.57962853701520978
0.054957793399062385;0.5763819381637002;10;0.57810076804072819;10;1;0.0001;0.57810076804072819
0.055222521121071899;0.57486272648873926;10;0.57657702591850091;10;1;0.0001;0.57657702591850091
0.05548724884308142;0.57334751911093662;10;0.57505730003466726;10;1;0.0001;0.57505730003466726
0.055751976565090941;0.57183630547589837;10;0.57354157980335885;10;1;0.0001;0.57354157980335885
0.056016704287100462;0.57032907505696095;10;0.57202985466652079;10;1;0.0001;0.57202985466652079
0.056281432009109976;0.56882581735533688;10;0.57052211409405673;10;1;0.0001;0.57052211409405673
0.056546159731119497;0.56732652189981225;10;0.56901834758352687;10;1;0.0001;0.56901834758352687
0.056810887453129018;0.56583117824678675;10;0.5675185446601867;10;1;0.0001;0.5675185446601867
0.057075615175138539;0.56433977598024898;10;0.56602269487696322;10;1;0.0001;0.56602269487696322
0.057340342897148053;0.56285230471154923;10;0.56453078781422672;10;1;0.0001;0.56453078781422672
0.057605070619157574;0.56136875407949571;10;0.56304281307988724;10;1;0.0001;0.56304281307988724
0.057869798341167095;0.55988911375015205;10;0.56155876030919138;10;1;0.0001;0.56155876030919138
0.058134526063176616;0.55841337341689401;10;0.56007861916477975;10;1;0.0001;0.56007861916477975
0.05839925378518613;0.5569415228001835;10;0.55860237933645951;10;1;0.0001;0.55860237933645951
0.058663981507195651;0.55547355164759238;10;0.55713003054122834;10;1;0.0001;0.55713003054122834
0.058928709229205171;0.5540094497337541;10;0.55566156252322696;10;1;0.0001;0.55566156252322696
0.059193436951214692;0.55254920686023434;10;0.55419696505360816;10;1;0.0001;0.55419696505360816
0.059458164673224206;0.55109281285545941;10;0.5527362279304654;10;1;0.0001;0.5527362279304654
0.059722892395233727;0.5496402575747048;10;0.55127934097882181;10;1;0.0001;0.55127934097882181
0.059987620117243248;0.54819153089994577;10;0.54982629405047911;10;1;0.0001;0.54982629405047911
0.060252347839252769;0.54674662273986252;10;0.54837707702402472;10;1;0.0001;0.54837707702402472
0.060517075561262283;0.54530552302967772;10;0.5469316798046665;10;1;0.0001;0.5469316798046665
0.060781803283271804;0.54386822173123184;10;0.54549009232431067;10;1;0.0001;0.54549009232431067
0.061046531005281325;0.54243470883272527;10;0.54405230454130094;10;1;0.0001;0.54405230454130094
0.061311258727290846;0.54100497434882955;10;0.54261830644053177;10;1;0.0001;0.54261830644053177
0.06157598644930036;0.53957900832049721;10;0.54118808803325646;10;1;0.0001;0.54118808803325646
0.061840714171309881;0.53815680081488526;10;0.5397616393570116;10;1;0.0001;0.5397616393570116
0.062105441893319402;0.53673834192542746;10;0.53833895047568836;10;1;0.0001;0.53833895047568836
0.062370169615328923;0.53532362177160775;10;0.5369200114793059;10;1;0.0001;0.5369200114793059
0.062634897337338444;0.5339126304989843;10;0.53550481248403548;10;1;0.0001;0.53550481248403548
0.062899625059347958;0.5325053582790239;10;0.53409334363203398;10;1;0.0001;0.53409334363203398
0.063164352781357472;0.53110179530919022;10;0.53268559509153302;10;1;0.0001;0.53268559509153302
0.063429080503367;0.5297019318127123;10;0.5312815570566064;10;1;0.0001;0.5312815570566064
0.063693808225376514;0.52830575803864144;10;0.52988121974722691;10;1;0.0001;0.52988121974722691
0.063958535947386042;0.52691326426166119;10;0.52848457340907606;10;1;0.0001;0.52848457340907606
0.064223263669395556;0.52552444078219751;10;0.52709160831365487;10;1;0.0001;0.52709160831365487
0.06448799139140507;0.52413927792612136;10;0.5257023147579849;10;1;0.0001;0.5257023147579849
0.064752719113414597;0.52275776604487578;10;0.52431668306473622;10;1;0.0001;0.52431668306473622
