# g;omega_d;r_re_0;r_im_0;r_re_1;r_im_1;last_population_1_0;last_population_1_1;last_population_2_0;last_population_2_1;last_res_population_0;last_res_population_1
54.200000000000003;5002.4442418633016;-0.028567017501860859;0.9996381768028465;-0.080046256143663896;-0.99663544063335774;6.0012013783209133e-05;0.99691765954141265;2.2532713959984503e-10;9.5103342157534633e-05;0.020529043997246841;0.023483818347838678
54.300000000000004;5002.4532562996601;-0.024913773621981994;0.99973662141369646;-0.076407034409434749;-0.99692056986765731;6.0023565638125169e-05;0.99690662677495334;1.8462464759532145e-10;9.5369485358672579e-05;0.020457835495077972;0.023423381364762651
54.400000000000006;5002.4622873920844;-0.021266616579167952;0.999821523987517;-0.072772819600745331;-0.99719192182961014;6.0034338907265249e-05;0.99689553599350933;1.4803574198259433e-10;9.5635571262282949e-05;0.02038673828020595;0.023363067337651873
54.5;5002.4713352816261;-0.017625911866851363;0.99989294719638533;-0.069143382627398831;-0.99744963844511447;6.0044361180793244e-05;0.99688438439570559;1.1554155174424112e-10;9.5901597445137025e-05;0.020315759478392779;0.023302874576139731
54.600000000000001;5002.4804000816721;-0.013991963973722488;0.99995095929066191;-0.065518533212720609;-0.99769384271864414;6.0053647531619181e-05;0.99687316980339336;8.7121179823469564e-11;9.6167561514759646e-05;0.02024490504067742;0.023242801918298896
54.700000000000003;5002.4894818006669;-0.010364860783368623;0.99999563460652285;-0.061898279883511265;-0.99792462414725891;6.0062192633005665e-05;0.99686189093338406;6.2751172063004584e-11;9.643346109517428e-05;0.020174176711816001;0.023182851495192194
54.800000000000004;5002.4985806338364;-0.0067450661158472425;1.000027045553405;-0.058282245042295067;-0.99814207294779667;6.0070007944262123e-05;0.99685054756444236;4.2409856186687484e-11;9.669929398368778e-05;0.020103583564061875;0.023123017012538379
54.900000000000006;5002.507696478775;-0.0031324387255224906;1.0000452726085722;-0.054670651427727535;-0.99834621740368767;6.0077068987596364e-05;0.99683914061647738;2.6071390195178414e-11;9.696505792156524e-05;0.020033122891278902;0.023063302797497711
55;5002.51682920444;0.00047321806721711823;1.0000503935531959;-0.051063781699679511;-0.99853706336825632;6.008335121177238e-05;0.99682767205344058;1.3710743314366353e-11;9.7230750720336186e-05;0.019962790904083628;0.023003713183296238
55.100000000000001;5002.5259787381819;0.0040719815142351568;1.0000424831919177;-0.047461811042710966;-0.9987146065277499;6.0088843810645439e-05;0.99681614464971069;5.3042931880794061e-12;9.7496370289076978e-05;0.019892586131949545;0.022944249329964566
55.200000000000003;5002.5351449285326;0.0076640845917709255;1.0000216134363313;-0.043865088225407689;-0.99887882335199285;6.0093535661355186e-05;0.99680456164012421;8.2890742590149275e-13;9.7761914545851418e-05;0.019822504062011432;0.022884914945253604
55.300000000000004;5002.5443276093883;0.011249785899616782;0.99998785197519624;-0.040274009691506407;-0.99902968614466925;6.0097422822966171e-05;0.99679292627286975;2.626646157479736e-13;9.8027381421549904e-05;0.019752539672409832;0.022825714191719585
55.400000000000006;5002.5535266094848;0.014829350431189825;0.99994126212349788;-0.036689001973376545;-0.99916717223883988;6.010050745056205e-05;0.99678124133133084;3.5848850128055791e-12;9.8292768835736978e-05;0.019682687808973573;0.02276665178969469
55.5;5002.5627417787409;0.018402997458399795;0.99988190369192298;-0.033110468619974576;-0.99929127405465235;6.010279691004391e-05;0.99676950868450764;1.0775980451348025e-11;9.8558074682452755e-05;0.01961294420476457;0.022707732452033509
55.600000000000001;5002.5719729990487;0.02197088011649051;0.99980983428012304;-0.02953876594128646;-0.99940200639367438;6.0104300065976921e-05;0.99675772893081849;2.1817127426019724e-11;9.8823296813689931e-05;0.019543305883415671;0.02264896084010309
55.700000000000003;5002.5812337594371;0.0255065458830811;0.99972578891250174;-0.02594766392713499;-0.99950009972216025;6.0106617440576196e-05;0.99674590065116953;3.6563531168186844e-11;9.9088439441025761e-05;0.019474288459130785;0.022589824395328112
55.800000000000004;5002.5486381145129;0.10718086609694544;0.99427189959917406;-0.10715811428590793;-0.99406332709633816;5.5388730773904814e-05;0.99673575692147354;1.4623328827669653e-09;9.9332074327839243e-05;0.017880293953341481;0.024185600565674752
55.900000000000006;5002.5395288928094;0.14248505750346885;0.98981266696157244;-0.14245355130236281;-0.98960725722153298;5.3442536317690556e-05;0.99672461077610253;2.725728179856686e-09;9.9586569397110331e-05;0.017190047558254189;0.024886206631806941
56;5002.5347860835873;0.16911972703585454;0.98559674274758047;-0.16908709692041191;-0.985392545455407;5.2008224934763118e-05;0.99671322490549974;3.9412198231499333e-09;9.9843006488408903e-05;0.016668835345743711;0.025417951932758757
56.100000000000001;5002.5322761290563;0.19129643945975927;0.98152116289853741;-0.19125559251268753;-0.98131843544210506;5.0834652586814639e-05;0.9967016867567392;5.1275274796636914e-09;0.0001001003833153473;0.016234570552776731;0.025862662206260646
56.200000000000003;5002.5311610704957;0.21066468289061746;0.97753689757223938;-0.21062214571763938;-0.97733333575317527;4.9823763201273102e-05;0.99669003107557108;6.2946717523951394e-09;0.00010035830029115348;0.015855097585829026;0.026252766160785385
