# omega_d;r_re_0;r_im_0;r_re_1;r_im_1;last_population_1_0;last_population_1_1;last_population_2_0;last_population_2_1;last_res_population_0;last_res_population_1
5001.8850000000002;0.66423691304534027;0.74753627184788785;-0.87413706287235993;0.46321010447843602;0.0082370644231204437;1.0054536801020983;3.0551134422507968e-05;0.00010120676183193276;2.7641294792202262;14.710452799591529
5001.8900000000003;0.66161087917100447;0.74985765600530596;-0.88243010385357712;0.44683550198711441;0.0082990494330170035;1.0054985578146891;3.0265192295289354e-05;0.00010312521838389189;2.7850188791946797;14.771915763780195
5001.8950000000004;0.6589567409650241;0.75218718583677435;-0.8904514486149615;0.43024137974626503;0.008361683289176804;1.0055421129340096;2.9978269282937853e-05;0.00010507563567057846;2.8061280016806647;14.831213950151245
5001.8999999999996;0.65627415572340198;0.75452482484615169;-0.89819345961891517;0.41343414453730681;0.0084249744526135682;1.0055842916590196;2.9690373890151379e-05;0.00010705726345614275;2.8274597302409843;14.888289356028718
5001.9049999999997;0.65356277364778725;0.75687053612897215;-0.90564868842109703;0.39642053263855209;0.0084889315685715682;1.0056250413544432;2.9401514804746279e-05;0.00010906930916731162;2.8490170114099107;14.943085535992777
5001.9099999999999;0.65082223746252976;0.75922428208316828;-0.91280989233897469;0.37920760335878484;0.0085535634686159101;1.0056643106922731;2.9111700899116716e-05;0.00011111093865797922;2.8708028554282983;14.995547727535152
5001.915;0.64805218204417692;0.7615860240886122;-0.91967005089048159;0.36180273157952691;0.0086188791722032233;1.0057020497917086;2.8820941234394619e-05;0.000113181277096346;2.8928203368044692;15.045622974597926
5001.9200000000001;0.64525223407379195;0.7639557221509734;-0.92622238191993023;0.34421359936143109;0.0086848878875537151;1.0057382103565229;2.8529245068233319e-05;0.00011527940996811458;2.9150725946404386;15.093260248388471
5001.9250000000002;0.64242201171247637;0.76633333451421692;-0.93246035735848865;0.32644818661046116;0.0087515990118853058;1.0057727458092118;2.8236621865992493e-05;0.00011740438419626564;2.9375628327438839;15.138410565088577
5001.9300000000003;0.63956112430338297;0.7687188172439372;-0.93837771855868235;0.30851476082528712;0.0088190221310034313;1.0058056114218734;2.7943081315452764e-05;0.00011955520937502809;2.9602943195236247;15.181027100020501
5001.9350000000004;0.6366691721028952;0.77111212378386851;-0.94396849114284431;0.29042186594808339;0.0088871670182529613;1.0058367644427351;2.7648633345080428e-05;0.00012173085911535092;2.9832703876707125;15.22106529783569
5001.9399999999996;0.63374574604379774;0.77351320448847483;-0.94922699930714383;0.27217831034865447;0.0089560436328389482;1.0058661642179436;2.7353288145922826e-05;0.00012393027249835812;3.0064944336272963;15.258482978308178
5001.9449999999997;0.63079042752947645;0.77592200613670292;-0.95414787953085467;0.25379315395240681;0.0090256621176070528;1.005893772308379;2.705705619674725e-05;0.00012615235563564705;3.029969916873855;15.293240437372942
5001.9499999999998;0.62780278826863045;0.77833847142453361;-0.95872609362211203;0.23527569459642184;0.009096032796131465;1.005919552600564;2.6759948293203808e-05;0.00012839598332620996;3.0537003589833609;15.325300542919045
5001.9549999999999;0.62478239014141979;0.78076253844780363;-0.96295694106726959;0.21663545358541345;0.0091671661693891772;1.0059434714113853;2.6461975579819819e-05;0.00013066000081349367;3.0776893425363503;15.354628825105765
5001.96;0.62172878510594165;0.78319414017303313;-0.96683607062003896;0.19788216053913701;0.0092390729118774061;1.0059654975862882;2.616314958550809e-05;0.00013294322563155305;3.1019405098485415;15.381193560750006
5001.9650000000001;0.61864151514254484;0.78563320390201075;-0.97035949108924968;0.17902573755658446;0.0093117638672913436;1.005985602590274;2.586348226212421e-05;0.000135244449537249;3.1264575615504206;15.404965851496954
