# k0x_2;min_population;time_for_min_population;min_fidelity;time_for_min_fidelity;max_fidelity;time_for_max_fidelity;last_fidelity
0.69999999999999996;0.99671900035660566;0.2109;0.9996895153602362;0.21150000000000002;1;0.0001;0.99971630278572987
0.70599999999999996;0.99673656266727417;0.2109;0.99970728712858303;0.20730000000000001;1;0.0001;0.99973063776255466
0.71199999999999997;0.99675243604789288;0.20470000000000002;0.99972340498688861;0.20400000000000001;1;0.0001;0.99974375528946235
0.71799999999999997;0.99676690843374582;0.19840000000000002;0.99973805572520391;0.20050000000000001;1;0.0001;0.99975578615551841
0.72399999999999998;0.99678004423476607;0.19840000000000002;0.99975140876154023;0.19790000000000002;1;0.0001;0.9997668438820756
0.72999999999999998;0.9967920750553767;0.19840000000000002;0.99976360075555215;0.19490000000000002;1;0.0001;0.99977702738196805
0.73599999999999999;0.99680305180953344;0.19220000000000001;0.99977475744371835;0.193;1;0.0001;0.99978642315276933
0.74199999999999999;0.99681311828056329;0.19220000000000001;0.9997849878718601;0.19090000000000001;1;0.0001;0.99979510709480535
0.748;0.99682237222609871;0.19220000000000001;0.99979438098659013;0.18890000000000001;1;0.0001;0.99980314602579312
0.754;0.99683087071619358;0.18590000000000001;0.99980302180436531;0.18760000000000002;1;0.0001;0.99981059894818403
0.76000000000000001;0.9968386888153431;0.18590000000000001;0.99981098395303147;0.1867;1;0.0001;0.99981751811481867
0.76600000000000001;0.99684590353036728;0.18590000000000001;0.99981833040558044;0.18590000000000001;1;0.0001;0.99982394992834944
0.77200000000000002;0.99685256733381655;0.18590000000000001;0.99982511689647313;0.18510000000000001;1;0.0001;0.99982993570346079
0.77799999999999991;0.99685872790169361;0.18590000000000001;0.99983139333186033;0.1845;1;0.0001;0.99983551231541945
0.78399999999999992;0.99686442846164525;0.18590000000000001;0.99983720446357471;0.1842;1;0.0001;0.99984071275376096
0.78999999999999992;0.99686970814251752;0.18590000000000001;0.99984259016033006;0.18440000000000001;1;0.0001;0.99984556659657564
0.79599999999999993;0.99687460231691505;0.18590000000000001;0.99984758569872356;0.1852;1;0.0001;0.9998501004184368
0.80199999999999994;0.99687914293080193;0.18590000000000001;0.99985222250334238;0.186;1;0.0001;0.99985433814184654
0.80799999999999994;0.99688335881599943;0.18590000000000001;0.99985652934740321;0.18680000000000002;1;0.0001;0.99985830134131126
0.81399999999999995;0.99688727598292803;0.18590000000000001;0.99986053246013262;0.1875;1;0.0001;0.99986200950723514
0.81999999999999995;0.9968909159315239;0.19220000000000001;0.99986425550694136;0.1883;1;0.0001;0.99986548027514432
0.82599999999999996;0.99689429327377777;0.19220000000000001;0.99986771868206947;0.192;1;0.0001;0.99986872962570006
0.83199999999999996;0.99689743599759761;0.19220000000000001;0.99987093764584711;0.19340000000000002;1;0.0001;0.99987177205952149
0.83799999999999997;0.99690035577043024;0.19840000000000002;0.99987393458756602;0.19460000000000002;1;0.0001;0.99987462075038158
0.84399999999999997;0.99690306874662826;0.19840000000000002;0.99987672136309746;0.19950000000000001;1;0.0001;0.99987728767957518
0.84999999999999998;0.99690559497572206;0.19840000000000002;0.999879314297346;0.20070000000000002;1;0.0001;0.99987978375430342
0.85599999999999998;0.99690793732879057;0.2046;0.99988172399594577;0.20610000000000001;1;0.0001;0.99988211891197543
0.86199999999999999;0.99691011234502858;0.2109;0.99988396467213492;0.21200000000000002;1;0.0001;0.99988430221223412
0.86799999999999999;0.99691213262515377;0.2109;0.99988604589431007;0.218;1;0.0001;0.99988634191858694
0.874;0.99691400430793975;0.21710000000000002;0.99988797648205774;0.21910000000000002;1;0.0001;0.99988824557050482
0.88;0.99691573768432851;0.22340000000000002;0.99988976683162556;0.2253;1;0.0001;0.99989002004744865
0.88600000000000001;0.99691734126534148;0.2296;0.99989142461076863;0.23720000000000002;1;0.0001;0.99989167162583259
0.89200000000000002;0.99691882368836771;0.2359;0.99989295774468523;0.24360000000000001;1;0.0001;0.99989320602943543
0.89800000000000002;0.99692018868536836;0.24210000000000001;0.99989437387421476;0.25009999999999999;1;0.0001;0.99989462847453203
0.90400000000000003;0.99692144665708038;0.25459999999999999;0.99989567845423044;0.26240000000000002;1;0.0001;0.99989594370988666
0.91000000000000003;0.99692259979146758;0.25459999999999999;0.99989687824618345;0.27490000000000003;1;0.0001;0.99989715605240559
0.91600000000000004;0.99692365612069767;0.2671;0.99989797862714125;0.28739999999999999;1;0.0001;0.99989826941864302
0.92200000000000004;0.996924618813671;0.2671;0.99989898446839842;0.30610000000000004;1;0.0001;0.9998992873533793
0.92800000000000005;0.99692549282380249;0.27960000000000002;0.99989990053451516;0.32480000000000003;1;0.0001;0.99990021305430066
0.93399999999999994;0.99692628116649207;0.27960000000000002;0.99990073083142095;0.34360000000000002;1;0.0001;0.99990104939446123
0.93999999999999995;0.99692698782539424;0.2858;0.99990147894063486;0.36230000000000001;1;0.0001;0.99990179894173836
0.94599999999999995;0.99692761450414458;0.29210000000000003;0.99990214789032206;0.38109999999999999;1;0.0001;0.9999024639762919
0.95199999999999996;0.9969281640156028;0.29830000000000001;0.99990274018418523;0.39980000000000004;1;0.0001;0.99990304650564676
0.95799999999999996;0.99692863866096793;0.29830000000000001;0.99990325788171064;0.4123;1;0.0001;0.9999035482779115
0.96399999999999997;0.99692904026926465;0.29830000000000001;0.999903702646744;0.43099999999999999;1;0.0001;0.99990397079317661
0.96999999999999997;0.9969293698223588;0.31080000000000002;0.99990407586057661;0.44350000000000001;1;0.0001;0.99990431531330515
